 Protein   Total       C       H       E       C%       H%       E%
     194     248     133      20      95   53.6%    8.1%   38.3%
     195     248     137      16      95   55.2%    6.5%   38.3%
     196     248     126      27      95   50.8%   10.9%   38.3%
     197     248     131      19      98   52.8%    7.7%   39.5%
     198     248     128      26      94   51.6%   10.5%   37.9%
     199     248     128      21      99   51.6%    8.5%   39.9%
     200     248     128      28      92   51.6%   11.3%   37.1%
     201     248     128      24      96   51.6%    9.7%   38.7%
     202     248     126      22     100   50.8%    8.9%   40.3%
     203     248     127      22      99   51.2%    8.9%   39.9%
     204     248     128      23      97   51.6%    9.3%   39.1%
     205     248     127      29      92   51.2%   11.7%   37.1%
     206     239     121       7     111   50.6%    2.9%   46.4%
     207     239     113      10     116   47.3%    4.2%   48.5%
     208     226     108      24      94   47.8%   10.6%   41.6%
     209     226     109      21      96   48.2%    9.3%   42.5%
     210     225     106      11     108   47.1%    4.9%   48.0%
     211     227      94      20     113   41.4%    8.8%   49.8%
     212     227      99      22     106   43.6%    9.7%   46.7%
     213     224     108      10     106   48.2%    4.5%   47.3%
     214     222     103       6     113   46.4%    2.7%   50.9%
     215     228     119      13      96   52.2%    5.7%   42.1%
     216     220     102      12     106   46.4%    5.5%   48.2%
     217     223     114      10      99   51.1%    4.5%   44.4%
     218     219     102      17     100   46.6%    7.8%   45.7%
     219     239     124       5     110   51.9%    2.1%   46.0%
     220     239     118      12     109   49.4%    5.0%   45.6%
     221     239     124       3     112   51.9%    1.3%   46.9%
     222     309     155      78      76   50.2%   25.2%   24.6%
     223     239     112       6     121   46.9%    2.5%   50.6%
     224     238     125      32      81   52.5%   13.4%   34.0%
     225     225      95      31      99   42.2%   13.8%   44.0%
     226     234     124      31      79   53.0%   13.2%   33.8%
     227     234     124      29      81   53.0%   12.4%   34.6%
     228     227     112       6     109   49.3%    2.6%   48.0%
     229     234     113      23      98   48.3%    9.8%   41.9%
     230     227     108      10     109   47.6%    4.4%   48.0%
     231     225     104      21     100   46.2%    9.3%   44.4%
     232     227     103      28      96   45.4%   12.3%   42.3%
     233     227     104      29      94   45.8%   12.8%   41.4%
     234     225     101      23     101   44.9%   10.2%   44.9%
     235     225     101      23     101   44.9%   10.2%   44.9%
     236     234     110      22     102   47.0%    9.4%   43.6%
     237     238     120       9     109   50.4%    3.8%   45.8%
     238     239     112       5     122   46.9%    2.1%   51.0%
     239     237     118      15     104   49.8%    6.3%   43.9%
     240     239     128       6     105   53.6%    2.5%   43.9%
     241     233     102      34      97   43.8%   14.6%   41.6%
     242     239     117      10     112   49.0%    4.2%   46.9%
     243     239     112      10     117   46.9%    4.2%   49.0%
     244     226     106      15     105   46.9%    6.6%   46.5%
     245     226     107      14     105   47.3%    6.2%   46.5%
     246     226      93      17     116   41.2%    7.5%   51.3%
     247     226      93      17     116   41.2%    7.5%   51.3%
     248     227     108      15     104   47.6%    6.6%   45.8%
     249     227      98      15     114   43.2%    6.6%   50.2%
     250     227      98      16     113   43.2%    7.0%   49.8%
     251     227      96      15     116   42.3%    6.6%   51.1%
     252     227      95      22     110   41.9%    9.7%   48.5%
     253     227      98      18     111   43.2%    7.9%   48.9%
     254     226      99      24     103   43.8%   10.6%   45.6%
     255     226     116      15      95   51.3%    6.6%   42.0%
     256     226     107      15     104   47.3%    6.6%   46.0%
     257     239     110       7     122   46.0%    2.9%   51.0%
     258     227     108       9     110   47.6%    4.0%   48.5%
     259     226     107      14     105   47.3%    6.2%   46.5%
     260     226     100      26     100   44.2%   11.5%   44.2%
     261     226     107      14     105   47.3%    6.2%   46.5%
     262     226     108      17     101   47.8%    7.5%   44.7%
     263     226     109      17     100   48.2%    7.5%   44.2%
     264     226     106      15     105   46.9%    6.6%   46.5%
     265     238     119       8     111   50.0%    3.4%   46.6%
     266     239     113       4     122   47.3%    1.7%   51.0%
     267     239     114       4     121   47.7%    1.7%   50.6%
     268     239     126      12     101   52.7%    5.0%   42.3%
     269     106      45      16      45   42.5%   15.1%   42.5%
     270     106      44      23      39   41.5%   21.7%   36.8%
     271     226     115      15      96   50.9%    6.6%   42.5%
     272     218      93      12     113   42.7%    5.5%   51.8%
     273     232      87      21     124   37.5%    9.1%   53.4%
     274     238     112      19     107   47.1%    8.0%   45.0%
     275     237     116      14     107   48.9%    5.9%   45.1%
     276     237     114      16     107   48.1%    6.8%   45.1%
     277     237     116      13     108   48.9%    5.5%   45.6%
     278     214     101       0     113   47.2%    0.0%   52.8%
     279     236     121      26      89   51.3%   11.0%   37.7%
     280     239     120       7     112   50.2%    2.9%   46.9%
     281     230      97       7     126   42.2%    3.0%   54.8%
     282     239     125       6     108   52.3%    2.5%   45.2%
     283     237     111       6     120   46.8%    2.5%   50.6%
     284     236     120      25      91   50.8%   10.6%   38.6%
     285     239     115      22     102   48.1%    9.2%   42.7%
     286     236     119       7     110   50.4%    3.0%   46.6%
     287     226     132      15      79   58.4%    6.6%   35.0%
     288     233     124       9     100   53.2%    3.9%   42.9%
     289     239     111       5     123   46.4%    2.1%   51.5%
     290     239     104       8     127   43.5%    3.3%   53.1%
     291     238     108       8     122   45.4%    3.4%   51.3%
     292     238     119      11     108   50.0%    4.6%   45.4%
     293     239     109       9     121   45.6%    3.8%   50.6%
     294     239     113       8     118   47.3%    3.3%   49.4%
     295     225      96      29     100   42.7%   12.9%   44.4%
     296     225      94      29     102   41.8%   12.9%   45.3%
     297     236     124       4     108   52.5%    1.7%   45.8%
     298     232     114      10     108   49.1%    4.3%   46.6%
     299     226     136      14      76   60.2%    6.2%   33.6%
     300     226     142      10      74   62.8%    4.4%   32.7%
     301     230     107      12     111   46.5%    5.2%   48.3%
     302     239     111      10     118   46.4%    4.2%   49.4%
     303     234     113      40      81   48.3%   17.1%   34.6%
     304     234     111      26      97   47.4%   11.1%   41.5%
     305     238     119       9     110   50.0%    3.8%   46.2%
     306     239     121       6     112   50.6%    2.5%   46.9%
     307     217     131      15      71   60.4%    6.9%   32.7%
     308     239     114      22     103   47.7%    9.2%   43.1%
     309     238     117       8     113   49.2%    3.4%   47.5%
     310     238     119       8     111   50.0%    3.4%   46.6%
     311     238     117       8     113   49.2%    3.4%   47.5%
     312     224      97      10     117   43.3%    4.5%   52.2%
     313     224      98      10     116   43.8%    4.5%   51.8%
     314     224     104      10     110   46.4%    4.5%   49.1%
     315     224     101      10     113   45.1%    4.5%   50.4%
     316     239     115       8     116   48.1%    3.3%   48.5%
     317     224      97      10     117   43.3%    4.5%   52.2%
     318     224      97      10     117   43.3%    4.5%   52.2%
     319     226      92      17     117   40.7%    7.5%   51.8%
     320     222     105      31      86   47.3%   14.0%   38.7%
     321     225     111       8     106   49.3%    3.6%   47.1%
     322     110      47      19      44   42.7%   17.3%   40.0%
     323     110      46      19      45   41.8%   17.3%   40.9%
     324     238     120       9     109   50.4%    3.8%   45.8%
     325     239     120       6     113   50.2%    2.5%   47.3%
     326     238     113       7     118   47.5%    2.9%   49.6%
     327     238     120       8     110   50.4%    3.4%   46.2%
     328     486     249       3     234   51.2%    0.6%   48.1%
     329     230      94      32     104   40.9%   13.9%   45.2%
     330     222      94      23     105   42.3%   10.4%   47.3%
     331     222     105      15     102   47.3%    6.8%   45.9%
     332     222     107       6     109   48.2%    2.7%   49.1%
     333     222     107       7     108   48.2%    3.2%   48.6%
     334     222     114       8     100   51.4%    3.6%   45.0%
     335     222     106      15     101   47.7%    6.8%   45.5%
     336     220     110       1     109   50.0%    0.5%   49.5%
     337     248     127      20     101   51.2%    8.1%   40.7%
     338     238      93      40     105   39.1%   16.8%   44.1%
     339     226     131      16      79   58.0%    7.1%   35.0%
     340     239     110       8     121   46.0%    3.3%   50.6%
     341     231     111       8     112   48.1%    3.5%   48.5%
     342     238     116       9     113   48.7%    3.8%   47.5%
     343     238     110      24     104   46.2%   10.1%   43.7%
     344     238     117       8     113   49.2%    3.4%   47.5%
     345     238     113      10     115   47.5%    4.2%   48.3%
     346     233     102      32      99   43.8%   13.7%   42.5%
     347     239     121       7     111   50.6%    2.9%   46.4%
     348     224     102      10     112   45.5%    4.5%   50.0%
     349     239     119      20     100   49.8%    8.4%   41.8%
     350     239     119      20     100   49.8%    8.4%   41.8%
     351     239     112       7     120   46.9%    2.9%   50.2%
     352     224      97      10     117   43.3%    4.5%   52.2%
     353     222      94      18     110   42.3%    8.1%   49.5%
     354     238     105       9     124   44.1%    3.8%   52.1%
     355     225     121      18      86   53.8%    8.0%   38.2%
     356     234     109      44      81   46.6%   18.8%   34.6%
     357     235     105      27     103   44.7%   11.5%   43.8%
     358     239     109       9     121   45.6%    3.8%   50.6%
     359     239     120       7     112   50.2%    2.9%   46.9%
     360     239     124       6     109   51.9%    2.5%   45.6%
     361     239     121      12     106   50.6%    5.0%   44.4%
     362     239     110      12     117   46.0%    5.0%   49.0%
     363     239     112       8     119   46.9%    3.3%   49.8%
     364     239     112       8     119   46.9%    3.3%   49.8%
     365     239     111       7     121   46.4%    2.9%   50.6%
     366     239     118       7     114   49.4%    2.9%   47.7%
     367     239     124       5     110   51.9%    2.1%   46.0%
     368     239     110       8     121   46.0%    3.3%   50.6%
     369     238     120       9     109   50.4%    3.8%   45.8%
     370     239     108       5     126   45.2%    2.1%   52.7%
     371     226      91      22     113   40.3%    9.7%   50.0%
     372     226      92      17     117   40.7%    7.5%   51.8%
     373     239     113      20     106   47.3%    8.4%   44.4%
     374     239     111       7     121   46.4%    2.9%   50.6%
     375     217     133      11      73   61.3%    5.1%   33.6%
     376     217     132      13      72   60.8%    6.0%   33.2%
     377     224     112       6     106   50.0%    2.7%   47.3%
     378     238     116       6     116   48.7%    2.5%   48.7%
     379     238     117       5     116   49.2%    2.1%   48.7%
     380     238     116       5     117   48.7%    2.1%   49.2%
     381     237     121      10     106   51.1%    4.2%   44.7%
     382     239     109       6     124   45.6%    2.5%   51.9%
     383     238     112      31      95   47.1%   13.0%   39.9%
     384     238     108      53      77   45.4%   22.3%   32.4%
     385     239     123       8     108   51.5%    3.3%   45.2%
     386     485     319       9     157   65.8%    1.9%   32.4%
     387     485     340      11     134   70.1%    2.3%   27.6%
     388     482     308       9     165   63.9%    1.9%   34.2%
     389     473     224      38     211   47.4%    8.0%   44.6%
     390     582     405      19     158   69.6%    3.3%   27.1%
     391     582     423      18     141   72.7%    3.1%   24.2%
     392     222     103       7     112   46.4%    3.2%   50.5%
     393     238     108       6     124   45.4%    2.5%   52.1%
     394     237     112       8     117   47.3%    3.4%   49.4%
     395     239     110       7     122   46.0%    2.9%   51.0%
     396     232     118      16      98   50.9%    6.9%   42.2%
     397     219     105      15      99   47.9%    6.8%   45.2%
     398     139      60      11      68   43.2%    7.9%   48.9%
     399     238     118       5     115   49.6%    2.1%   48.3%
     400     222      94      18     110   42.3%    8.1%   49.5%
     401     238     113       9     116   47.5%    3.8%   48.7%
     402     239     109       9     121   45.6%    3.8%   50.6%
     403     225      94      29     102   41.8%   12.9%   45.3%
     404     344     162       1     181   47.1%    0.3%   52.6%
     405     353     167       4     182   47.3%    1.1%   51.6%
     406     239     107       8     124   44.8%    3.3%   51.9%
     407     238     117      19     102   49.2%    8.0%   42.9%
     408     219     115      11      93   52.5%    5.0%   42.5%
     409     219     114       4     101   52.1%    1.8%   46.1%
     410     239     116      20     103   48.5%    8.4%   43.1%
     411     247     126       5     116   51.0%    2.0%   47.0%
     412     231     124      35      72   53.7%   15.2%   31.2%
     413     231     120      35      76   51.9%   15.2%   32.9%
     414     238     116       8     114   48.7%    3.4%   47.9%

共解析 414 条蛋白。

[C] 最高比例: Protein  391  72.7%  (C=423, H=18, E=141, total=582)
[C] 最低比例: Protein  273  37.5%  (C=87, H=21, E=124, total=232)

[H] 最高比例: Protein  136  35.8%  (C=86, H=48, E=0, total=134)
[H] 最低比例: Protein   27  0.0%  (C=96, H=0, E=129, total=225)

[E] 最高比例: Protein   27  57.3%  (C=96, H=0, E=129, total=225)
[E] 最低比例: Protein  136  0.0%  (C=86, H=48, E=0, total=134)
